phase;dataset;model;seed;timestamp;accuracy;f1_macro;precision_macro;recall_macro;elapsed_sec;file;model_cfg_json;dataset_files_json
phase3_rebaseline;imdb;logreg;101;20251106_022848;0.89836;0.8983576970293563;0.8983961067985176;0.89836;24.442306200042367;results\rebaseline\logreg_imdb_s101_20251106_022848.json;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/imdb_train.csv"", ""test"": ""data/local/imdb_test.csv""}"
phase3_rebaseline;imdb;logreg;102;20251106_022918;0.89752;0.8975177168587032;0.8975554275953526;0.8975200000000001;28.6335341000231;results\rebaseline\logreg_imdb_s102_20251106_022918.json;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/imdb_train.csv"", ""test"": ""data/local/imdb_test.csv""}"
phase3_rebaseline;imdb;logreg;103;20251106_022948;0.89888;0.8988762618194449;0.8989389893530241;0.89888;28.266250399989076;results\rebaseline\logreg_imdb_s103_20251106_022948.json;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/imdb_train.csv"", ""test"": ""data/local/imdb_test.csv""}"
phase3_rebaseline;imdb;nb;101;20251106_023231;0.87232;0.8722736964560771;0.8728606802014549;0.87232;25.004875399987213;results\rebaseline\nb_imdb_s101_20251106_023231.json;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/imdb_train.csv"", ""test"": ""data/local/imdb_test.csv""}"
phase3_rebaseline;imdb;nb;102;20251106_023259;0.87296;0.8729119717057103;0.873524640165815;0.87296;25.911206500022672;results\rebaseline\nb_imdb_s102_20251106_023259.json;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/imdb_train.csv"", ""test"": ""data/local/imdb_test.csv""}"
phase3_rebaseline;imdb;nb;103;20251106_023326;0.87148;0.8714374149293211;0.8719728491462048;0.87148;25.43941440002527;results\rebaseline\nb_imdb_s103_20251106_023326.json;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/imdb_train.csv"", ""test"": ""data/local/imdb_test.csv""}"
phase3_rebaseline;imdb;rf;101;20251106_023742;0.86256;0.8625404688700761;0.8627661765602769;0.86256;106.2808349999832;results\rebaseline\rf_imdb_s101_20251106_023742.json;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/imdb_train.csv"", ""test"": ""data/local/imdb_test.csv""}"
phase3_rebaseline;imdb;rf;102;20251106_023928;0.86316;0.8631422139621265;0.8633488832834861;0.8631599999999999;104.14360860001761;results\rebaseline\rf_imdb_s102_20251106_023928.json;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/imdb_train.csv"", ""test"": ""data/local/imdb_test.csv""}"
phase3_rebaseline;imdb;rf;103;20251106_024125;0.8632;0.8631847432381836;0.8633620792542445;0.8632;115.38906870002393;results\rebaseline\rf_imdb_s103_20251106_024125.json;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/imdb_train.csv"", ""test"": ""data/local/imdb_test.csv""}"
phase3_rebaseline;imdb;svm;101;20251106_022523;0.90436;0.9043599876050544;0.9043602096203327;0.90436;26.06894500006456;results\rebaseline\svm_imdb_s101_20251106_022523.json;"{""C"": 0.5, ""class_weight"": null, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""train"": ""data/local/imdb_train.csv"", ""test"": ""data/local/imdb_test.csv""}"
