phase;dataset;model;seed;train_frac;train_size_used;val_size_used;test_size_used;timestamp;test_accuracy;test_f1_macro;test_precision_macro;test_recall_macro;test_elapsed_sec;val_accuracy;val_f1_macro;val_precision_macro;val_recall_macro;model_cfg_json;file
phase5_learning_curve;imdb;logreg;103;1.0;22500;2500;25000;20251107_015730;0.89888;0.8988762618194449;0.8989389893530241;0.89888;24.30092800001148;0.9;0.8999935995903738;0.9001024262211126;0.9;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\logreg_imdb_frac100_s103_20251107_015730.json
phase5_learning_curve;imdb;nb;101;0.05;1125;2500;25000;20251107_012847;0.83388;0.8336818101889483;0.8354790682250426;0.83388;10.258615000057034;0.8456;0.845583298289543;0.8457495851004979;0.8456;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\nb_imdb_frac5_s101_20251107_012847.json
phase5_learning_curve;imdb;nb;102;0.05;1125;2500;25000;20251107_013833;0.82912;0.8290788301494496;0.8294374068798804;0.82912;9.913179800030775;0.8444;0.8443818486988321;0.8445607582673773;0.8444;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\nb_imdb_frac5_s102_20251107_013833.json
phase5_learning_curve;imdb;nb;103;0.05;1125;2500;25000;20251107_014946;0.8336;0.833344955386092;0.8356547094986245;0.8336;12.317903000046499;0.844;0.8438319882061918;0.8454867538771649;0.8440000000000001;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\nb_imdb_frac5_s103_20251107_014946.json
phase5_learning_curve;imdb;nb;101;0.1;2250;2500;25000;20251107_012930;0.84608;0.845919846376513;0.847524893964901;0.8460799999999999;10.856301699997857;0.8596;0.8595755324407726;0.8598508016146934;0.8596;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\nb_imdb_frac10_s101_20251107_012930.json
phase5_learning_curve;imdb;nb;102;0.1;2250;2500;25000;20251107_013915;0.84264;0.8425729345588222;0.8432248683555128;0.8426400000000001;11.309990799985826;0.8596;0.8595972818033757;0.8596278495806715;0.8595999999999999;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\nb_imdb_frac10_s102_20251107_013915.json
phase5_learning_curve;imdb;nb;103;0.1;2250;2500;25000;20251107_015035;0.85456;0.8544816762174072;0.8553250005131047;0.85456;12.116060900036246;0.8568;0.8567889097331698;0.8569105566140167;0.8568;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\nb_imdb_frac10_s103_20251107_015035.json
phase5_learning_curve;imdb;nb;101;0.2;4500;2500;25000;20251107_013018;0.85536;0.8552290102819688;0.8566507997045512;0.85536;12.491873900056817;0.8712;0.8711959607053277;0.8712465691696366;0.8712;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\nb_imdb_frac20_s101_20251107_013018.json
phase5_learning_curve;imdb;nb;102;0.2;4500;2500;25000;20251107_014002;0.857;0.856936909176947;0.8576308608385191;0.857;12.623811599914916;0.8744;0.8743999196159487;0.8744009584664536;0.8744000000000001;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\nb_imdb_frac20_s102_20251107_014002.json
phase5_learning_curve;imdb;nb;103;0.2;4500;2500;25000;20251107_015129;0.8646;0.8645402622556547;0.8652442909291991;0.8646;14.2258690999588;0.8784;0.8783922171018945;0.8784968952051725;0.8784;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\nb_imdb_frac20_s103_20251107_015129.json
