phase;regime;train_dataset;test_dataset;model;seed;train_size_used;test_size_used;timestamp;test_accuracy;test_f1_macro;test_precision_macro;test_recall_macro;test_elapsed_sec;model_cfg_json;class_src_json;class_tgt_json;file
phase4_transfer;size_matched;enron;sms;rf;103;2160;1115;20251106_200814;0.21883408071748878;0.21852984652473845;0.5043155663234403;0.5037621409812831;2.830927300034091;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 1800, ""1"": 360}";"{""0"": 966, ""1"": 149}";results\transfer\rf_trainenron_testsms_size_matched_s103_20251106_200814.json
phase4_transfer;size_matched;enron;sms;svm;101;2160;1115;20251106_200754;0.8726457399103139;0.5620242099672479;0.7541530501089324;0.5518709964289188;1.337727400008589;"{""C"": 0.5, ""class_weight"": null, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 1800, ""1"": 360}";"{""0"": 966, ""1"": 149}";results\transfer\svm_trainenron_testsms_size_matched_s101_20251106_200754.json
phase4_transfer;size_matched;enron;sms;svm;102;2160;1115;20251106_200801;0.8726457399103139;0.5327072462399358;0.803939393939394;0.5348423583031112;1.563719499972649;"{""C"": 0.5, ""class_weight"": null, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 1800, ""1"": 360}";"{""0"": 966, ""1"": 149}";results\transfer\svm_trainenron_testsms_size_matched_s102_20251106_200801.json
phase4_transfer;size_matched;enron;sms;svm;103;2160;1115;20251106_200808;0.8717488789237668;0.5471457500802355;0.7564251850619645;0.5428390790223296;1.395840400015004;"{""C"": 0.5, ""class_weight"": null, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 1800, ""1"": 360}";"{""0"": 966, ""1"": 149}";results\transfer\svm_trainenron_testsms_size_matched_s103_20251106_200808.json
phase4_transfer;size_matched;imdb;amazon;logreg;101;22500;100000;20251106_200914;0.83182;0.8306854128604283;0.8404407099747654;0.8316096855868647;28.4104393000016;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""1"": 11250, ""0"": 11250}";"{""1"": 50132, ""0"": 49868}";results\transfer\logreg_trainimdb_testamazon_size_matched_s101_20251106_200914.json
phase4_transfer;size_matched;imdb;amazon;logreg;102;22500;100000;20251106_201204;0.83285;0.8318533172470344;0.8404477775085297;0.8326525496552101;26.88962479995098;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""1"": 11250, ""0"": 11250}";"{""1"": 50132, ""0"": 49868}";results\transfer\logreg_trainimdb_testamazon_size_matched_s102_20251106_201204.json
phase4_transfer;size_matched;imdb;amazon;logreg;103;22500;100000;20251106_201453;0.83331;0.8323124204012956;0.8409477821027738;0.8331121832586724;26.739361900021322;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 11250, ""1"": 11250}";"{""1"": 50132, ""0"": 49868}";results\transfer\logreg_trainimdb_testamazon_size_matched_s103_20251106_201453.json
phase4_transfer;size_matched;imdb;amazon;nb;101;22500;100000;20251106_200940;0.82354;0.8235034016653693;0.8239016690488508;0.8235837560493462;26.26295200001914;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""1"": 11250, ""0"": 11250}";"{""1"": 50132, ""0"": 49868}";results\transfer\nb_trainimdb_testamazon_size_matched_s101_20251106_200940.json
phase4_transfer;size_matched;imdb;amazon;nb;102;22500;100000;20251106_201230;0.82373;0.823685705882246;0.824157586966561;0.8237775854002591;26.15628549992107;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""1"": 11250, ""0"": 11250}";"{""1"": 50132, ""0"": 49868}";results\transfer\nb_trainimdb_testamazon_size_matched_s102_20251106_201230.json
phase4_transfer;size_matched;imdb;amazon;nb;103;22500;100000;20251106_201519;0.82401;0.8239570070981692;0.8245117476116082;0.8240615473793607;26.037289300002158;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 11250, ""1"": 11250}";"{""1"": 50132, ""0"": 49868}";results\transfer\nb_trainimdb_testamazon_size_matched_s103_20251106_201519.json
