dataset;model;seed;n_train;n_test;feat_dim;timestamp;test_accuracy;test_f1_macro;test_precision_macro;test_recall_macro;time_fit_tfidf_sec;time_fit_clf_sec;time_predict_sec;time_total_train_sec;time_total_infer_sec;model_size_bytes;file
imdb;svm;103;22500;25000;100000;20251113_033443;0.90556;0.9055599454514245;0.9055609370079889;0.90556;14.213578900089487;0.4774180001113564;0.01484730001538992;14.690996900200844;0.01484730001538992;4751264;results\cost_profile\svm_imdb_s103_20251113_033443.json
sms;logreg;101;4013;1115;10858;20251113_032847;0.9874439461883409;0.9728868787082968;0.9728868787082968;0.9728868787082968;0.20293449983000755;0.01257160003297031;0.0003285999409854412;0.21550609986297786;0.0003285999409854412;500992;results\cost_profile\logreg_sms_s101_20251113_032847.json
sms;logreg;102;4013;1115;10883;20251113_032851;0.9919282511210762;0.9828132787331665;0.9762321445464006;0.9896654021982297;0.19033880019560456;0.012199799995869398;0.00039499998092651367;0.20253860019147396;0.00039499998092651367;502064;results\cost_profile\logreg_sms_s102_20251113_032851.json
sms;logreg;103;4013;1115;11062;20251113_032855;0.9820627802690582;0.9614853195164076;0.9589081091478662;0.9641050759375824;0.18312090006656945;0.01233300007879734;0.00030239997431635857;0.1954539001453668;0.00030239997431635857;510336;results\cost_profile\logreg_sms_s103_20251113_032855.json
sms;nb;101;4013;1115;10858;20251113_032848;0.9910313901345291;0.980064223595377;0.9948770491803278;0.9664429530201342;0.1705002998933196;0.003086300101131201;0.0014283000491559505;0.1735865999944508;0.0014283000491559505;761489;results\cost_profile\nb_sms_s101_20251113_032848.json
sms;nb;102;4013;1115;10883;20251113_032852;0.989237668161435;0.9759345592678925;0.9938650306748467;0.9597315436241611;0.16767250001430511;0.0020415999460965395;0.000404000049456954;0.16971409996040165;0.000404000049456954;763153;results\cost_profile\nb_sms_s102_20251113_032852.json
sms;nb;103;4013;1115;11062;20251113_032855;0.9874439461883409;0.9719236524792081;0.9897041481945875;0.9558582405824891;0.1824089998845011;0.0018331999890506268;0.00039410009048879147;0.18424219987355173;0.00039410009048879147;775729;results\cost_profile\nb_sms_s103_20251113_032855.json
sms;rf;101;4013;1115;6535;20251113_032850;0.9811659192825112;0.9572460738146582;0.982759949443571;0.9352064140508844;0.1194454999640584;1.274686000077054;0.13657359988428652;1.3941315000411123;0.13657359988428652;24095429;results\cost_profile\rf_sms_s101_20251113_032850.json
sms;rf;102;4013;1115;6541;20251113_032854;0.9874439461883409;0.971754990373898;0.9928571428571429;0.9530201342281879;0.11555340001359582;1.2762613000813872;0.12476859986782074;1.391814700094983;0.12476859986782074;40207957;results\cost_profile\rf_sms_s102_20251113_032854.json
sms;rf;103;4013;1115;6734;20251113_032858;0.9829596412556054;0.9610805229925284;0.9903553299492386;0.936241610738255;0.12198980012908578;1.380426699994132;0.1231969001237303;1.5024165001232177;0.1231969001237303;43486069;results\cost_profile\rf_sms_s103_20251113_032858.json
sms;svm;101;4013;1115;10858;20251113_032847;0.9910313901345291;0.9801813011020264;0.9918337775059345;0.9692810593744354;0.20138260000385344;0.008610900025814772;0.0007166999857872725;0.2099935000296682;0.0007166999857872725;500832;results\cost_profile\svm_sms_s101_20251113_032847.json
sms;svm;102;4013;1115;10883;20251113_032850;0.9928251121076234;0.9842373863748817;0.992902673458229;0.9759924687704087;0.18576699984259903;0.00783210014924407;0.0003122999332845211;0.1935990999918431;0.0003122999332845211;501904;results\cost_profile\svm_sms_s102_20251113_032850.json
sms;svm;103;4013;1115;11062;20251113_032854;0.9838565022421525;0.9639018389018389;0.9813823832340692;0.9481116344991455;0.2144736999180168;0.006679100217297673;0.00033980002626776695;0.22115280013531446;0.00033980002626776695;510176;results\cost_profile\svm_sms_s103_20251113_032854.json
